Latitude,Longitude,Elevation,Stream Bed Material,Lithology
"27°04'10""","76°00'04""",434,"Aeol,All,Clay",Undiff.Sd.
"27°04'03""","76°00'45""",418,"Aeol,All,Clay","QUART,
Undiff.Sd."
"27°03'30""","76°01'33""",407,"G,Sd",QUART
"27°03'25""","76°02'06""",396,"G,Sd",QUART
"27°03'58""","76°01'35""",398,"Aeol,All,Clay",QUART
"27°03'56""","76°02'02""",400,"G,Sd",QUART
"27°03'30""","76°02'45""",386,"Aeol,All,Clay",Undiff.Sd.
"27°03'30""","76°03'29""",384,"Sd,Aeol,All,Clay",Undiff.Sd.
"27°04'14""","76°02'29""",393,"Aeol,All,Clay",Undiff.Sd.
"27°04'18""","76°03'35""",383,"Aeol,All,Clay",Undiff.Sd.
"27°03'37""","76°04'10""",384,"Aeol,All,Clay",Undiff.Sd.
"27°03'24""","76°04'18""",398,"Rk,Sd,G",QUART
"27°04'00""","76°04'07""",396,"Aeol,All,Clay",Undiff.Sd.
"27°04'05""","76°04'35""",418,"Rk,Sd,G",QUART
"27°03'35""","76°05'04""",478,"Rk,Sd",QUART
"27°03'31""","76°05'38""",393,"Rk,Sd,G",QUART
"27°04'04""","76°05'18""",481,"Rk,Sd",QUART
"27°04'05""","76°05'49""",394,"Rk,Sd,G",QUART
"27°03'43""","76°06'33""",374,"Sd,G","QUART,AMPH"
"27°03'29""","76°06'56""",376,"Rk,Sd,G",QUART
"27°04'13""","76°06'15""",383,"Sd,G","QUART,AMPH"
"27°04'16""","76°06'49""",378,"Sd,G","QUART,AMPH"
"27°03'35""","76°07'42""",372,"Sd,St,C",NOT EXPOSED
"27°03'36""","76°08'11""",371,"Sd,St,C",NOT EXPOSED
"27°04'11""","76°07'25""",385,"Sd,G",QUART
"27°04'00""","76°07'59""",364,"Sd,St,C",NOT EXPOSED
"27°03'41""","76°08'58""",356,"Sd,St,C",NOT EXPOSED
"27°03'41""","76°09'22""",354,"Sd,St,C",NOT EXPOSED
"27°04'00""","76°08'48""",357,"Sd,St,C",NOT EXPOSED
"27°04'13""","76°09'35""",353,"Sd,St,C",NOT EXPOSED
"27°03'40""","76°10'06""",349,"Aeol,All,Clay","Aeol,All,Clay"
"27°03'26""","76°10'40""",352,"Aeol,All,Clay","Aeol,All,Clay"
"27°04'06""","76°09'54""",348,"Aeol,All,Clay","Aeol,All,Clay"
"27°04'09""","76°10'24""",347,"Aeol,All,Clay","Aeol,All,Clay"
"27°03'22""","76°11'09""",353,"Aeol,All,Clay","Aeol,All,Clay"
"27°03'39""","76°11'54""",353,"Aeol,All,Clay","Aeol,All,Clay"
"27°03'51""","76°11'11""",343,"Aeol,All,Clay","Aeol,All,Clay"
"27°04'07""","76°11'47""",338,"Aeol,All,Clay","Aeol,All,Clay"
"27°03'40""","76°12'30""",358,"Aeol,All,Clay","Aeol,All,Clay"
"27°03'23""","76°13'02""",339,"Aeol,All,Clay","Aeol,All,Clay"
"27°04'00""","76°12'21""",362,"Aeol,All,Clay","Aeol,All,Clay"
"27°03'55""","76°12'53""",354,"Aeol,All,Clay","Aeol,All,Clay"
"27°03'21""","76°13'25""",349,"Aeol,All,Clay","Aeol,All,Clay"
"27°03'38""","76°14'13""",348,Sd,NOT EXPOSED
"27°03'53""","76°13'27""",355,"Sd,St",GRAN GNEI
"27°03'56""","76°14'07""",353,Sd,NOT EXPOSED
"27°03'21""","76°14'56""",334,"Aeol,All,Clay","Aeol,All,Clay"
"27°04'15""","76°14'42""",346,Sd,NOT EXPOSED
"27°04'50""","76°00'09""",428,"Aeol,All,Clay","Aeol,All,Clay"
"27°04'27""","76°00'54""",418,"Aeol,All,Clay","Aeol,All,Clay"
"27°05'13""","76°00'27""",422,"Aeol,All,Clay","Aeol,All,Clay"
"27°05'03""","76°00'55""",432,"Aeol,All,Clay",QUART
"27°04'29""","76°01'22""",417,"Aeol,All,Clay","Aeol,All,Clay"
"27°04'29""","76°02'16""",414,"Sd,Aeol,All,Clay","QUART, Aeol
Sd."
"27°05'05""","76°01'27""",424,"G,Sd,Aeol.Sd.",QUART
"27°04'58""","76°02'06""",436,"G,Sd",QUART
"27°04'39""","76°02'38""",393,"Sd,Aeol,All,Clay","QUART, Aeol
Sd."
"27°04'41""","76°03'08""",390,"Aeol,All,Clay","Aeol,All,Clay"
"27°05'15""","76°02'38""",404,"G,Sd,Aeol.Sd.","QUART, Aeol
Sd."
"27°05'20""","76°03'09""",394,"Aeol,All,Clay","Aeol,All,Clay"
"27°04'28""","76°03'56""",391,"Aeol,All,Clay","Aeol,All,Clay"
"27°04'43""","76°04'22""",394,"Aeol,All,Clay","Aeol,All,Clay"
"27°05'11""","76°04'00""",403,"Sd,G",QUART
"27°05'00""","76°04'45""",403,"Aeol,All,Clay","Aeol,All,Clay"
"27°04'46""","76°05'13""",516,"Rk,Sd",QUART
"27°04'50""","76°05'27""",543,"Rk,Sd",QUART
"27°05'16""","76°05'12""",407,"Rk,Sd",QUART
"27°05'24""","76°06'02""",508,"Rk,Sd",QUART
"27°04'34""","76°06'25""",381,"Rk,Sd","QUART, AMPH"
"27°04'36""","76°06'52""",396,"G,Sd","QUART, AMPH"
"27°04'58""","76°06'17""",384,"G,Sd","QUART, AMPH"
"27°05'02""","76°07'04""",378,"G,Sd","QUART, AMPH"
"27°04'37""","76°07'40""",384,"G,Sd",QUART
"27°04'37""","76°08'15""",367,"Sd,St,C",NOT EXPOSED
"27°05'20""","76°07'22""",383,"G,Sd",QUART
"27°05'02""","76°08'00""",379,"G,Sd",QUART
"27°04'36""","76°08'47""",351,"St,C",NOT EXPOSED
"27°04'41""","76°09'25""",348,"St,C",NOT EXPOSED
"27°05'16""","76°08'53""",362,"Sd,St,C",NOT EXPOSED
"27°05'20""","76°09'31""",363,"Sd,C",NOT EXPOSED
"27°04'51""","76°09'55""",353,Sd,"Aeol,All,Clay"
"27°04'34""","76°10'43""",367,"Rk,Sd",CALC SILI
"27°05'17""","76°10'18""",365,Sd,CALC SILI
"27°05'23""","76°10'41""",379,"Rk,Sd",CALC SILI
"27°04'34""","76°11'12""",372,"G,Sd",DOLO MARB
"27°04'52""","76°11'45""",355,"G,Sd","BGC,
QUART,DOLO MARB"
"27°05'18""","76°11'16""",380,"Rk,G,Sd",DOLO MARB
"27°05'35""","76°12'04""",374,"Rk,G,Sd",DOLO MARB
"27°04'36""","76°12'24""",356,"G,Sd","MARB, AMPH"
"27°04'53""","76°12'55""",349,Sd,NOT EXPOSED
"27°05'00""","76°12'25""",358,"G,Sd",DOLO MARB
"27°05'00""","76°13'10""",354,Sd,NOT EXPOSED
"27°04'41""","76°13'27""",351,"Rk,G,Sd",GRAN
"27°04'24""","76°14'02""",353,Sd,NOT EXPOSED
"27°05'15""","76°13'37""",374,"G,Sd","DOLO MARB,
GRAN"
"27°05'07""","76°14'02""",355,"Sd,St",GRAN
"27°04'42""","76°14'38""",356,"Rk,G,Sd","DOLO MARB,
QUART"
"27°05'12""","76°14'41""",354,"G,Sd",QUART
"27°05'51""","76°00'04""",428,"Aeol,All,Clay","Aeol,All,Clay"
"27°05'57""","76°00'46""",434,"Aeol,All,Clay","Aeol,All,Clay"
"27°06'17""","76°00'12""",432,"Aeol,All,Clay","Aeol,All,Clay"
"27°06'17""","76°00'43""",436,"Aeol,All,Clay","Aeol,All,Clay"
"27°05'37""","76°01'34""",438,"G,Sd,Aeol.","QUART, Aeol
Sd."
"27°05'57""","76°01'55""",409,"Aeol,All,Clay","Aeol,All,Clay"
"27°06'04""","76°01'15""",496,"G,Sd,Aeol.",QUART
"27°06'15""","76°02'21""",406,"Aeol,All,Clay","Aeol,All,Clay"
"27°05'33""","76°02'40""",408,"G,Sd",QUART
"27°05'47""","76°03'13""",391,"Aeol,All,Clay","Aeol,All,Clay"
"27°06'23""","76°03'00""",398,"Sd,Aeol.Sd.",QUART
"27°06'22""","76°03'27""",398,"Aeol,All,Clay","Aeol,All,Clay"
"27°05'42""","76°04'07""",398,"G,Sd",QUART
"27°05'56""","76°04'33""",397,"G,Sd",QUART
"27°06'31""","76°04'05""",423,"Aeol,All,Clay,Sd","Aeol,All,Clay,Q
UART"
"27°06'13""","76°04'31""",418,"G,Sd",QUART
"27°05'29""","76°05'22""",414,"Rk,Sd",QUART
"27°05'44""","76°05'31""",419,"G,Sd",QUART
"27°06'21""","76°05'01""",408,"Aeol,All,Clay","Aeol,All,Clay"
"27°06'12""","76°05'33""",418,"Aeol,All,Clay","Aeol,All,Clay"
"27°05'51""","76°06'18""",482,"Rk,G,Sd",QUART
"27°05'48""","76°06'45""",400,"G,Sd","QUART, AMPH"
"27°06'15""","76°06'28""",476,"Rk,Sd",QUART
"27°06'18""","76°06'49""",398,"G,Sd","QUART, AMPH"
"27°05'48""","76°07'36""",390,"G,Sd","QUART,AMPH,
SCHI"
"27°05'43""","76°07'56""",361,"G,Sd","DOLO MARB,
QUART"
"27°06'07""","76°07'38""",383,"G,Sd",AMPH
"27°06'20""","76°08'10""",382,"Rk,G,Sd",QUART
"27°05'55""","76°08'52""",381,"Rk,G,Sd","QUART, CALC SILI"
"27°05'47""","76°09'25""",379,"Rk,G,Sd","QUART, CALC SILI"
"27°06'16""","76°09'01""",402,"Rk,Sd",CALC SILI
"27°06'25""","76°09'30""",378,"Rk,Sd",AMPH
"27°05'43""","76°09'46""",389,"Rk,Sd",QUART
"27°05'30""","76°10'28""",387,"Rk,Sd",QUART
"27°06'06""","76°10'06""",398,"Rk,G,Sd",AMPH
"27°06'10""","76°10'24""",391,"G,Sd","QUART, AMPH"
"27°05'37""","76°11'16""",379,Sd,QUART
"27°05'54""","76°11'50""",377,Sd,"QUART, AMPH"
"27°06'27""","76°10'59""",394,Sd,AMPH
"27°06'23""","76°12'14""",376,Sd,"QUART, AMPH"
"27°05'33""","76°12'32""",356,"G,Sd","GRAN GNEI,
DOLO MARB, QUART"
"27°05'36""","76°12'59""",358,"Rk,G,Sd","DOLO MARB, QUART"
"27°06'07""","76°12'20""",378,"Rk,G,Sd","DOLO MARB,
SCHI"
"27°06'15""","76°13'12""",358,"G,Sd",DOLO MARB
"27°05'33""","76°13'37""",371,"Rk,G,Sd",DOLO MARB
"27°05'51""","76°14'16""",348,"G,Sd","DOLO MARB,
GRAN"
"27°06'12""","76°13'26""",358,"G,Sd",DOLO MARB
"27°06'15""","76°14'10""",376,"Rk,G,Sd","DOLO MARB,
AMPH"
"27°05'52""","76°14'55""",354,"Rk,G,Sd",QUART
"27°06'10""","76°14'58""",368,"G,Sd","DOLO MARB, GRAN"
"27°07'01""","76°00'17""",408,"Aeol,All,Clay","Aeol,All,Clay"
"27°06'57""","76°00'58""",403,"Aeol,All,Clay","Aeol,All,Clay"
"27°07'16""","76°00'10""",428,"Aeol,All,Clay,Sd","Aeol,All,Clay,Q
UART"
"27°07'12""","76°00'49""",409,"Aeol,All,Clay","Aeol,All,Clay"
"27°06'41""","76°01'38""",418,"G,Sd",QUART
"27°05'58""","76°01'58""",388,"Aeol,All,Clay,Sd","Aeol,All,Clay,Q UART"
"27°07'06""","76°01'27""",422,"Rk,Sd","QUART,   MICA
SCHI"
"27°07'06""","76°02'15""",408,"Aeol,All,Clay","Aeol,All,Clay"
"27°06'37""","76°02'44""",393,"Rk,Sd",QUART
"27°06'36""","76°03'29""",394,Sd,Undiff.Sd.
"27°07'32""","76°02'59""",402,Sd,Undiff.Sd.
"27°07'07""","76°03'17""",409,Sd,Undiff.Sd.
"27°06'49""","76°03'47""",404,Sd,Undiff.Sd.
"27°06'45""","76°04'18""",409,"Rk,Sd","QUART,
Undiff.Sd."
"27°07'29""","76°03'50""",406,Sd,Undiff.Sd.
"27°07'18""","76°04'36""",398,Sd,Undiff.Sd.
"27°06'45""","76°05'10""",405,Sd,Undiff.Sd.
"27°06'56""","76°05'55""",429,Sd,Undiff.Sd.
"27°07'27""","76°05'25""",417,Sd,Undiff.Sd.
"27°07'32""","76°05'54""",421,Sd,Undiff.Sd.
"27°06'44""","76°06'14""",422,Sd,"QUART,
Undiff.Sd."
"27°07'00""","76°06'57""",397,"Rk,Sd",QUART
"27°07'19""","76°06'16""",432,"Rk,Sd","QUART,
Undiff.Sd."
"27°07'16""","76°07'05""",392,Sd,Undiff.Sd.
"27°06'42""","76°07'28""",384,"Aeol,All,Clay,Sd","AMPH,Sd."
"27°06'34""","76°08'27""",378,"Rk,Sd","DOLO MARB, AMPH"
"27°07'15""","76°07'38""",403,"Rk,Sd",AMPH
"27°07'12""","76°08'04""",385,"Rk,Sd",AMPH
"27°07'01""","76°08'35""",376,"Rk,Sd","AMPH, QVEIN"
"27°06'59""","76°09'41""",372,Sd,"AMPH,    CALC
SILI"
"27°07'08""","76°08'52""",378,Sd,AMPH
"27°07'19""","76°09'31""",375,Sd,"AMPH,    CALC
SILI"
"27°07'02""","76°09'59""",371,"G,Sd",AMPH
"27°06'56""","76°10'24""",376,"G,Sd",AMPH
"27°07'21""","76°10'11""",398,"G,Sd","QUART, AMPH"
"27°07'30""","76°10'22""",418,"G,Sd","QUART, AMPH"
"27°06'38""","76°11'22""",398,Sd,AMPH
"27°06'47""","76°11'45""",396,Sd,AMPH
"27°07'12""","76°11'22""",409,Sd,GRAN
"27°07'07""","76°11'58""",396,"G,Sd",AMPH
"27°06'48""","76°12'39""",376,"G,Sd",AMPH
"27°06'57""","76°12'55""",423,"Rk,Sd",QUART
"27°07'19""","76°12'15""",408,"G,Sd",DOLO MARB
"27°07'30""","76°12'47""",377,Sd,DOLO MARB
"27°06'43""","76°13'54""",378,"G,Sd","QUART,AMPH,
DOLO MARB"
"27°06'46""","76°14'13""",379,"G,Sd","DOLO MARB, QUART, QVEIN"
"27°07'02""","76°13'47""",375,"G,Sd",AMPH
"27°07'30""","76°14'18""",377,"Rk,Sd","DOLO MARB, QUART"
"27°06'56""","76°14'36""",375,Sd,DOLO MARB
"27°07'25""","76°14'38""",394,"Rk,Sd",DOLO MARB
"27°07'44""","76°00'29""",410,"G,Sd",QUART
"27°07'46""","76°00'52""",412,"Aeol,All,Clay","Aeol,All,Clay"
"27°08'21""","76°00'22""",443,"G,Sd",QUART
"27°08'25""","76°00'50""",423,"Rk,Sd",QUART
"27°07'41""","76°01'30""",418,"G,Sd",QUART
"27°07'50""","76°02'44""",402,"Aeol,All,Clay","Aeol,All,Clay"
"27°08'14""","76°01'35""",422,"G,Sd",QUART
"27°08'43""","76°02'24""",398,"Aeol,All,Clay","Aeol,All,Clay"
